,Job Name,Link to Job,Percentage Match
30,Junior Web and Mobile Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=f7ccf2bf0ae003fb&advn=2944584027173061,69.55
80,Software Developer - Tangerine,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=49d5d624bff6b191,68.9
48,Software Developer - Tangerine,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=49d5d624bff6b191,68.9
72,"Full Stack Developer(React/NodeJS), Digital Factory",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=f94af777caf3ce41,67.94
6,Full Stack Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&vjk=04f28c291fd7c96a&advn=7991154163646824,65.92
85,Full Stack Engineer - Conversational AI,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=d946e668d6ee9b27,65.45
105,SOFTWARE ENGINEER,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=e8afabae9da757cf&advn=6332945041604065,65.2
42,SOFTWARE ENGINEER,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=e8afabae9da757cf&advn=6332945041604065,65.2
82,SOFTWARE ENGINEER,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=e8afabae9da757cf&advn=6332945041604065,65.2
15,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=53aec29b18e24cf5&advn=3638100989611396,65.2
10,Intermediate Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&vjk=7740a8b4997a589e&advn=8598294018796379,64.78
35,Software Developer (Middleware/API),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=d2b5c8f558c6d208,64.76
65,Full Stack Developer Co-op (Summer 2021 4-month Term),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=015c79e755a81cef,64.55
71,Full Stack Engineer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&advn=4504733161522811&vjk=841c807927b83b0b,63.03
11,"Professional, Software Developer",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&vjk=c5cbcda97c9ebd60,63.0
78,Full-stack Software Developer II,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=b02388be38aa9f6a,62.87
36,Junior Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=3c0d074396dd5a96,62.6
54,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=2e6342f2b9ed0197&advn=5023740254715866,62.35
26,"Intermediate Software Developer, Domains - Remote",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=0424677cb0dfe013,62.33
57,Back-End Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&advn=6974190916435313&vjk=127872438542f8d6,62.17
111,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=f32510c2ad11ab9e,61.71
76,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=f32510c2ad11ab9e,61.71
44,"Software Developer, Digital Factory",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=7e9bf40807b1b756&advn=5514537056247114,61.6
62,"Developer, Data Engineering",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=df56557e59c840f7,61.32
58,Junior Java Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=b89654138a9c4d37,60.8
103,Junior Java Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=b89654138a9c4d37,60.8
33,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=b74f02daa2e0346f,60.64
79,"Full Stack Developer, Platform",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=c11555098812cbcd,60.6
95,"Full Stack Developer, Platform",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=c11555098812cbcd,60.6
5,Software Developer (Backend),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&vjk=0d55c0d4060f20e3&advn=9214152590898048,60.48
60,"Full Stack(React/Node.JS) Software Developer, Digital Factory",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=a7feb8cc1b6b90c1,60.48
101,"Full Stack(React/Node.JS) Software Developer, Digital Factory",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=a7feb8cc1b6b90c1,60.48
3,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&vjk=efdffded1fb1b59f,60.47
70,Front End Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=705ee435204e3713,60.13
73,Intermediate Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=5ab034b6959b86b4,59.84
27,Future Opportunity Requisition*Software Development Engineer I - CDN,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=e6e149d338768a7b&advn=8187210054516026,59.78
53,Software Developer Intern,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=4e91850897470054,59.54
74,Fullstack Web Developer for Academic Research Tool (Contract),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=88749a89377105d0,59.34
34,Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=d13bc633b765acba&advn=2552973586709710,59.31
22,Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=d13bc633b765acba&advn=2552973586709710,59.31
108,Java Microservices Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=6c8e96791e49ff08,58.9
12,Java Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&vjk=faf2a66e2de406cc&advn=2871804453485933,58.83
21,Embedded Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=d8b368b97802a2a9,58.32
112,Java Programmer/Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=e580e94f45321a62,58.17
18,Game Developer (PHP + JavaScript),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=6e1047d412f5ab65&advn=3004188062225723,57.83
107,Software Development Manager,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=f95a9f77eb9fee23&advn=8265868639215021,57.49
23,Software Developer (Entry Level),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=0b9f8566fac4a32c,57.41
86,Software Engineer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=080020743c763d3b,57.36
20,Web Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=9983153540f0863a&advn=2797415843561648,56.88
102,Full stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=19fc1fa143720267,56.8
91,Senior Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=bf095614cd1de069&advn=868164784451299,56.67
4,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&vjk=177067f888804893&advn=6594411000953915,56.31
98,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=177067f888804893&advn=6594411000953915,56.31
106,Full-Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=5664fb2fc73346ac,56.27
75,"Software Engineer - Full Stack Java Developer, Derivative Trading",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=5c536562e150ded1,56.22
19,Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=83c8b29a00d29731&advn=7415032983437029,56.21
31,Javascript Developer (Software Engineer),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=2b5176f3268da317,56.13
25,UI/UX Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=2bd123894e8a1b4a&advn=7803361030892527,56.07
39,UI/UX Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=2bd123894e8a1b4a&advn=7803361030892527,56.07
90,Software Engineer - Java - Toronto Hub,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=a478d92cb524ba3a,55.57
104,Software Engineer - Java - Toronto Hub,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=a478d92cb524ba3a,55.57
13,Software Engineering Specialist-Java Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=7daac742aac10625,55.25
61,Intermediate Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=cf42c1b9b7ec0812&advn=2685216113799893,54.91
38,Software Developer - Payments and Licensing,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=a0edbddd0b65a349,54.81
0,Machine Learning Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&advn=842554376311161&vjk=decc1e27d6b08536,54.67
100,Sr. Full-Stack Engineer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=a6078b576d696966,54.45
16,Jr. Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=5e5821289d632c68,54.32
40,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=296064b9eb83e9ba,54.09
43,Junior Web/Mobile Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=c229d4ec61081ff5,53.98
92,Full stack Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=488b772dbec02439,53.72
89,Full Stack Developer (4-month contract),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=e22cc0a974e2af97,53.64
93,Front End Software Engineer (react),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=916813462221e700,53.54
96,Simulation Software Developer Co-Op,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=a3161047d1240710,53.28
28,Simulation Software Developer Co-Op,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=a3161047d1240710,53.28
29,Front End Engineer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=b80bbdca23b3d5c3&advn=7206713340195412,53.19
17,C++ Software Developer at KeyDB,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=e26fca42fe034682&advn=5401178180163019,52.58
87,"Junior Web Developer, Consulting",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=49b430b7fdfcb73e,52.53
47,"Junior Web Developer, Consulting",https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=49b430b7fdfcb73e,52.53
69,Backend Engineer (MERN),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=079e72bff4420d5e,52.26
83,Backend Engineer (MERN),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=079e72bff4420d5e,52.26
32,Snowflake developer/Engineer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=7a640a35c2671852&advn=7445994763480489,52.07
64,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=3909c812c80b537a,51.77
2,FrontEnd Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&advn=6281216603785465&vjk=015aba1d92d01427,51.2
94,Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=c1622f8116c2eb96,50.68
56,Jr. Software Engineer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=aaec21942df772eb,49.94
55,Full Stack Web Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=ad71c4da26604315,49.91
7,Java Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&vjk=b5f2b1af0ddb6dd9&advn=4436621501141577,47.66
68,Junior Full-Stack Web Developer (Job Code 1009),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=17dccb321073f3db,47.38
8,Software Developer - AI/ML,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&vjk=5af338b7a165ed8c,47.35
59,Python Fullstack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=8f23876de442f7d5,46.38
67,Remote Back End Developer Sonar Software,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=13a019221351f72d&advn=5207738823621046,46.01
14,Junior Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=ab8fb1024a27c288,45.39
45,Support Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=d43a0ee8bd489d7b&advn=5621629551179144,44.78
50,Computer Programmer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=ced3c1d1399b2835&advn=9385227325796523,43.78
88,software developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=55cd4c43f682ae58,43.61
52,Programmer Analyst,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=d797a5105e22de03&advn=7179142290752161,41.28
81,Full Stack Developer (React/Ruby on Rails/Postgres),https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=51cdb2c7d0f08841&advn=1520754055757992,40.83
114,Java Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=c880d4679be1e494,40.22
41,ASP.NET Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=9c22e0a26552939e&advn=643899732134830,37.74
37,Intermediate Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=20&vjk=6c46ed9d7c52fc0f,37.73
99,JAVA Middleware Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=347d3bd6fda3355b,36.94
109,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=896ac38401072800,36.45
46,Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=896ac38401072800,36.45
49,Java Lead Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=eb5441ea2d13ef9d&advn=2931489632031054,35.27
84,Junior Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=a53136dc2da6b6a2,32.52
66,iOS Application Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=af7f26db1645d2eb&advn=5591864725766807,31.94
9,iOS Application Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&vjk=af7f26db1645d2eb&advn=5591864725766807,31.94
51,Java/Spark Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=30&vjk=f781b24b085b4428,30.76
110,Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=1dd2f75c1a0f4594&advn=2908751513820809,29.94
77,Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=50&vjk=1dd2f75c1a0f4594&advn=2908751513820809,29.94
24,Full Stack Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=10&vjk=1dd2f75c1a0f4594&advn=2908751513820809,29.94
63,Java programmer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=40&vjk=30aa07a96cd7da64,26.78
1,Software Programmer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=0&advn=2404004480418890&vjk=b0067a4d76c76ac3,26.01
97,software developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=60&vjk=cdee5140f9bf8290,25.05
113,Mainframe Software Developer,https://ca.indeed.com/jobs?q=software%20developer&l=Toronto&start=70&vjk=c758dc40f48f0131,0.32
